Science_Occupations,All_Female,All_Male,Bachelors_Female,Bachelors_Male,Masters_Female,Masters_Male,DoctorateFemale,DoctorateMale,Total
Biological/life scientist,302000,329000,127000,114000,80000,88000,88000,119000,616000
Computer and information scientist,698000,2148000,423000,1449000,262000,637000,11000,55000,2837000
Mathematical scientist,135000,175000,33000,73000,79000,71000,19000,31000,306000
Physical scientist,92000,239000,39000,87000,33000,53000,20000,99000,331000
Psychologist,176000,76000,23000,7000,85000,23000,53000,40000,231000
Social scientist,166000,153000,30000,31000,80000,61000,54000,54000,310000
